English,Arabic,Categories,Frequency
decided,,"Vocabulary, Grammar, IT & Technology",14
describes,,"IT & Technology, Vocabulary, Grammar",14
don,,"IT & Technology, Grammar, Vocabulary",14
express,,"Grammar, Vocabulary",14
followed,,"Grammar, Reading Comprehension, IT & Technology",14
funding,,"Vocabulary, Grammar, Reading Comprehension",14
implemented,,"IT & Technology, Vocabulary, Grammar",14
latency,,"IT & Technology, Vocabulary, Grammar",14
load,,"IT & Technology, Grammar, Reading Comprehension",14
machine,,"IT & Technology, Reading Comprehension, Vocabulary",14
monday,,"Vocabulary, Grammar, Reading Comprehension",14
perfectly,,"IT & Technology, Vocabulary, Grammar",14
policy,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",14
primary,,"IT & Technology, Reading Comprehension, Grammar",14
pronoun,,"IT & Technology, Grammar, Reading Comprehension",14
report,,"Grammar, Reading Comprehension, Vocabulary",14
result,,"Grammar, Vocabulary, IT & Technology, Reading Comprehension",14
single,,"IT & Technology, Reading Comprehension, Vocabulary",14
source,,"Reading Comprehension, IT & Technology, Vocabulary",14
strong,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",14
third,,"Grammar, IT & Technology",14
tomorrow,,"Grammar, Vocabulary, Reading Comprehension",14
api,,"IT & Technology, Reading Comprehension, Grammar",13
consistency,,"IT & Technology, Grammar",13
deploy,,"IT & Technology, Reading Comprehension, Vocabulary, Grammar",13
handle,,"Vocabulary, Reading Comprehension, IT & Technology, Grammar",13
implementation,,"Reading Comprehension, IT & Technology, Grammar, Vocabulary",13
inference,,"IT & Technology, Reading Comprehension",13
office,,"Reading Comprehension, IT & Technology, Vocabulary",13
prevent,,"IT & Technology, Grammar, Reading Comprehension",13
required,,"IT & Technology, Reading Comprehension, Grammar, Vocabulary",13
room,,"Reading Comprehension, Vocabulary",13
save,,"IT & Technology, Reading Comprehension",13
standard,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",13
umbrella,,"Reading Comprehension, Vocabulary",13
users,,"Vocabulary, IT & Technology, Grammar, Reading Comprehension",13
version,,"IT & Technology, Reading Comprehension, Grammar",13
weather,,"Reading Comprehension, Vocabulary, Grammar",13
yesterday,,"IT & Technology, Grammar, Reading Comprehension",13
agile,,IT & Technology,12
authentication,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",12
basics,,IT & Technology,12
called,,"Reading Comprehension, Vocabulary, IT & Technology",12
changes,,"Grammar, IT & Technology, Reading Comprehension",12
daily,,"IT & Technology, Reading Comprehension, Vocabulary",12
developer,,"IT & Technology, Vocabulary, Grammar",12
developers,,"IT & Technology, Reading Comprehension, Vocabulary",12
directly,,"Vocabulary, Reading Comprehension, IT & Technology",12
faster,,"Grammar, Reading Comprehension, Vocabulary, IT & Technology",12
financial,,"Grammar, Reading Comprehension",12
finish,,"Grammar, IT & Technology, Vocabulary",12
hours,,"IT & Technology, Vocabulary, Grammar",12
idea,,"Reading Comprehension, Vocabulary, Grammar",12
implies,,Reading Comprehension,12
john,,"Reading Comprehension, Grammar",12
large,,"Reading Comprehension, Grammar, Vocabulary, IT & Technology",12
longer,,"Grammar, Reading Comprehension, IT & Technology, Vocabulary",12
migration,,"Grammar, Vocabulary, IT & Technology, Reading Comprehension",12
organization,,"Reading Comprehension, IT & Technology, Vocabulary",12
release,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",12
scrum,,IT & Technology,12
support,,"Reading Comprehension, IT & Technology, Vocabulary, Grammar",12
takes,,"Grammar, Reading Comprehension, Vocabulary, IT & Technology",12
ubiquitous,,"Vocabulary, Grammar",12
analysis,,"Reading Comprehension, IT & Technology",11
based,,"IT & Technology, Vocabulary, Grammar",11
cleft,,Grammar,11
collocation,,Vocabulary,11
deployment,,"IT & Technology, Vocabulary, Reading Comprehension, Grammar",11
emphasis,,Grammar,11
entire,,"Vocabulary, Grammar, IT & Technology, Reading Comprehension",11
excerpt,,Reading Comprehension,11
issue,,"IT & Technology, Reading Comprehension, Vocabulary, Grammar",11
made,,"IT & Technology, Reading Comprehension, Vocabulary",11
memory,,"IT & Technology, Vocabulary, Grammar",11
modal,,"Grammar, Vocabulary",11
outage,,"IT & Technology, Grammar",11
physical,,"IT & Technology, Reading Comprehension, Vocabulary, Grammar",11
plural,,"IT & Technology, Grammar",11
practice,,"IT & Technology, Reading Comprehension",11
preposition,,"Grammar, Vocabulary",11
product,,"IT & Technology, Vocabulary, Grammar",11
purpose,,"IT & Technology, Reading Comprehension",11
quantum,,"IT & Technology, Reading Comprehension, Vocabulary",11
send,,"Reading Comprehension, IT & Technology, Grammar, Vocabulary",11
short,,"IT & Technology, Grammar, Vocabulary, Reading Comprehension",11
situation,,"Grammar, IT & Technology, Reading Comprehension, Vocabulary",11
speech,,"Vocabulary, Grammar, Reading Comprehension",11
table,,"IT & Technology, Grammar, Vocabulary, Reading Comprehension",11
training,,"Vocabulary, Reading Comprehension, IT & Technology",11
uncountable,,Grammar,11
uses,,"Grammar, Reading Comprehension, IT & Technology",11
view,,"Reading Comprehension, IT & Technology",11
web,,"Vocabulary, IT & Technology, Grammar",11
week,,"IT & Technology, Grammar, Vocabulary, Reading Comprehension",11
words,,"Vocabulary, IT & Technology, Grammar, Reading Comprehension",11
writing,,"Vocabulary, Reading Comprehension, Grammar, IT & Technology",11
ambiguous,,"Vocabulary, Reading Comprehension",10
bandwidth,,"IT & Technology, Vocabulary",10
break,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",10
car,,"Grammar, Reading Comprehension",10
ceo,,"Grammar, Vocabulary, Reading Comprehension, IT & Technology",10
committee,,"Reading Comprehension, Grammar, Vocabulary",10
communication,,"Reading Comprehension, Vocabulary, IT & Technology",10
complete,,"IT & Technology, Vocabulary, Grammar",10
document,,"IT & Technology, Vocabulary",10
employees,,"IT & Technology, Vocabulary, Reading Comprehension",10
ensure,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",10
environment,,"IT & Technology, Reading Comprehension, Vocabulary, Grammar",10
existing,,"IT & Technology, Reading Comprehension, Vocabulary",10
external,,"IT & Technology, Grammar",10
fix,,"Grammar, Reading Comprehension, IT & Technology, Vocabulary",10
framework,,"Grammar, IT & Technology, Reading Comprehension",10
fundamental,,"IT & Technology, Reading Comprehension, Grammar, Vocabulary",10
initial,,"Reading Comprehension, Grammar, IT & Technology",10
interface,,"IT & Technology, Reading Comprehension, Vocabulary",10
known,,"Grammar, IT & Technology, Reading Comprehension",10
learning,,"Reading Comprehension, IT & Technology, Grammar",10
malicious,,"IT & Technology, Grammar, Vocabulary",10
massive,,"Reading Comprehension, Grammar, IT & Technology",10
multi,,"IT & Technology, Reading Comprehension, Vocabulary",10
pattern,,"Reading Comprehension, IT & Technology",10
phishing,,IT & Technology,10
printer,,"IT & Technology, Vocabulary",10
problem,,"IT & Technology, Vocabulary, Reading Comprehension",10
process,,"IT & Technology, Reading Comprehension, Vocabulary",10
reported,,Grammar,10
speed,,"IT & Technology, Reading Comprehension, Grammar",10
tenses,,"Grammar, Vocabulary",10
traditional,,"Vocabulary, Reading Comprehension, IT & Technology, Grammar",10
transition,,"IT & Technology, Reading Comprehension, Vocabulary",10
tuesday,,"Vocabulary, Reading Comprehension",10
unauthorized,,"IT & Technology, Vocabulary, Grammar",10
unreal,,Grammar,10
wouldn,,Grammar,10
zero,,"Grammar, IT & Technology",10
automated,,"IT & Technology, Grammar, Reading Comprehension",9
availability,,"IT & Technology, Vocabulary",9
behavior,,"IT & Technology, Grammar",9
caused,,"IT & Technology, Reading Comprehension, Grammar, Vocabulary",9
client,,"Grammar, Vocabulary, IT & Technology",9
condition,,"Grammar, IT & Technology",9
conjunctions,,"Grammar, Reading Comprehension, IT & Technology",9
connect,,"IT & Technology, Reading Comprehension, Grammar",9
deduction,,Grammar,9
deprecated,,"IT & Technology, Reading Comprehension, Grammar",9
details,,"Reading Comprehension, IT & Technology, Vocabulary",9
develop,,"Grammar, Vocabulary, IT & Technology",9
encountered,,Grammar,9
encryption,,"Vocabulary, IT & Technology, Grammar, Reading Comprehension",9
feature,,"IT & Technology, Reading Comprehension",9
files,,"Reading Comprehension, IT & Technology",9
good,,"Grammar, Vocabulary, Reading Comprehension, IT & Technology",9
inferred,,"IT & Technology, Reading Comprehension",9
install,,"IT & Technology, Grammar, Vocabulary",9
integrity,,"IT & Technology, Reading Comprehension, Grammar",9
intended,,"IT & Technology, Vocabulary, Grammar",9
laptop,,"Vocabulary, IT & Technology, Grammar",9
launch,,"Vocabulary, Grammar, Reading Comprehension",9
message,,"Reading Comprehension, IT & Technology",9
mobile,,"IT & Technology, Grammar, Vocabulary",9
modals,,"IT & Technology, Grammar, Vocabulary",9
paradigm,,"IT & Technology, Vocabulary",9
period,,"IT & Technology, Grammar, Vocabulary",9
personal,,"Reading Comprehension, IT & Technology, Vocabulary",9
prepositions,,"Grammar, Vocabulary",9
program,,"IT & Technology, Vocabulary",9
research,,"Reading Comprehension, Vocabulary, Grammar",9
secure,,"IT & Technology, Reading Comprehension, Vocabulary",9
significant,,"Reading Comprehension, Vocabulary, Grammar",9
simultaneously,,IT & Technology,9
storage,,"Vocabulary, IT & Technology",9
strict,,"Grammar, Reading Comprehension, IT & Technology",9
sudden,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",9
suggest,,"Reading Comprehension, Grammar",9
updates,,"IT & Technology, Reading Comprehension",9
voice,,"IT & Technology, Grammar",9
whose,,"IT & Technology, Grammar, Vocabulary",9
acid,,"IT & Technology, Grammar",8
actions,,"Grammar, IT & Technology, Reading Comprehension",8
address,,IT & Technology,8
administrator,,"IT & Technology, Grammar",8
auxiliary,,Grammar,8
breakfast,,"Reading Comprehension, Vocabulary, Grammar",8
broken,,"IT & Technology, Reading Comprehension",8
click,,"IT & Technology, Vocabulary",8
community,,"Reading Comprehension, Vocabulary, IT & Technology",8
completed,,"Grammar, IT & Technology",8
cryptography,,"Reading Comprehension, IT & Technology",8
current,,"Vocabulary, Reading Comprehension, IT & Technology, Grammar",8
debt,,"IT & Technology, Reading Comprehension",8
deceptive,,"IT & Technology, Reading Comprehension, Vocabulary",8
due,,"Reading Comprehension, Vocabulary, Grammar",8
elevator,,Reading Comprehension,8
engine,,IT & Technology,8
evidence,,"Vocabulary, Reading Comprehension, Grammar",8
explicitly,,Reading Comprehension,8
failures,,"Grammar, Reading Comprehension, IT & Technology",8
fast,,"Grammar, Reading Comprehension, Vocabulary",8
features,,"Reading Comprehension, Grammar, IT & Technology",8
file,,"IT & Technology, Vocabulary",8
firewall,,"IT & Technology, Grammar",8
forgot,,"Reading Comprehension, IT & Technology",8
frequently,,"Reading Comprehension, IT & Technology, Vocabulary",8
identified,,"Grammar, IT & Technology",8
indicates,,"Reading Comprehension, Grammar",8
indicating,,"Reading Comprehension, Grammar",8
installed,,"IT & Technology, Grammar",8
installing,,"IT & Technology, Grammar, Vocabulary",8
integration,,IT & Technology,8
malware,,"Grammar, IT & Technology, Vocabulary",8
manual,,"IT & Technology, Reading Comprehension",8
merely,,Reading Comprehension,8
met,,"Reading Comprehension, Grammar, Vocabulary",8
mixed,,Grammar,8
morning,,"Grammar, Reading Comprehension, Vocabulary",8
non,,"Grammar, Vocabulary",8
park,,"Grammar, Reading Comprehension",8
performance,,"IT & Technology, Reading Comprehension",8
phones,,"IT & Technology, Vocabulary, Grammar",8
possessive,,"IT & Technology, Grammar",8
postpone,,"Vocabulary, Grammar, IT & Technology, Reading Comprehension",8
postponed,,Grammar,8
protect,,"IT & Technology, Vocabulary",8
rain,,"Reading Comprehension, Grammar, Vocabulary",8
restarting,,"IT & Technology, Grammar",8
risk,,"Vocabulary, Reading Comprehension, Grammar, IT & Technology",8
said,,"Grammar, IT & Technology",8
science,,"IT & Technology, Vocabulary",8
search,,IT & Technology,8
sent,,"IT & Technology, Reading Comprehension, Vocabulary",8
sister,,"Vocabulary, Grammar",8
size,,"Reading Comprehension, IT & Technology",8
slow,,"IT & Technology, Grammar, Vocabulary",8
solution,,"Vocabulary, IT & Technology, Reading Comprehension",8
started,,Grammar,8
talk,,Grammar,8
teams,,"IT & Technology, Vocabulary",8
travel,,"IT & Technology, Vocabulary",8
troubleshooting,,IT & Technology,8
trust,,"Reading Comprehension, IT & Technology",8
updated,,"Grammar, IT & Technology",8
usually,,"IT & Technology, Vocabulary",8
utilized,,Grammar,8
value,,"IT & Technology, Reading Comprehension, Vocabulary",8
vulnerability,,"IT & Technology, Vocabulary, Grammar",8
works,,"Grammar, Reading Comprehension",8
add,,"Grammar, Vocabulary, IT & Technology",7
adjective,,"Grammar, Vocabulary",7
applications,,"IT & Technology, Reading Comprehension",7
applied,,"Grammar, IT & Technology",7
approach,,"Reading Comprehension, IT & Technology, Vocabulary",7
arrive,,"IT & Technology, Vocabulary, Reading Comprehension",7
automate,,IT & Technology,7
bad,,"Reading Comprehension, Vocabulary, Grammar",7
book,,"Reading Comprehension, Grammar",7
budget,,"Grammar, Vocabulary",7
cable,,IT & Technology,7
cafe,,"Reading Comprehension, IT & Technology",7
cannot,,"IT & Technology, Reading Comprehension",7
circumstances,,"Grammar, Vocabulary",7
clothing,,Vocabulary,7
codebase,,"Reading Comprehension, IT & Technology, Grammar, Vocabulary",7
compromised,,"IT & Technology, Grammar",7
concept,,IT & Technology,7
contrasts,,"Vocabulary, Reading Comprehension, Grammar",7
control,,IT & Technology,7
costs,,"IT & Technology, Vocabulary",7
days,,"Vocabulary, IT & Technology, Grammar",7
dedicated,,"Reading Comprehension, IT & Technology",7
delete,,"IT & Technology, Reading Comprehension",7
demand,,"Grammar, IT & Technology",7
described,,"IT & Technology, Vocabulary, Reading Comprehension",7
different,,"IT & Technology, Reading Comprehension",7
direct,,"Grammar, Vocabulary, Reading Comprehension, IT & Technology",7
downtime,,"IT & Technology, Grammar, Reading Comprehension, Vocabulary",7
eat,,"Reading Comprehension, Grammar, Vocabulary, IT & Technology",7
emphasize,,"Reading Comprehension, Grammar, Vocabulary",7
enthusiastic,,Reading Comprehension,7
error,,"IT & Technology, Reading Comprehension, Grammar, Vocabulary",7
exact,,"IT & Technology, Vocabulary, Grammar",7
experience,,"IT & Technology, Vocabulary, Grammar",7
factor,,IT & Technology,7
failure,,"IT & Technology, Reading Comprehension, Grammar",7
far,,Grammar,7
finally,,"Vocabulary, Grammar",7
flexibility,,Reading Comprehension,7
guarantee,,"IT & Technology, Reading Comprehension, Grammar",7
hard,,"Reading Comprehension, Vocabulary, IT & Technology",7
identify,,"IT & Technology, Grammar",7
implement,,"Vocabulary, Grammar",7
impossible,,"Reading Comprehension, Grammar, Vocabulary, IT & Technology",7
improvement,,"IT & Technology, Vocabulary, Grammar",7
independent,,"Reading Comprehension, Vocabulary, Grammar, IT & Technology",7
ing,,Grammar,7
inherently,,"Reading Comprehension, Vocabulary",7
innovation,,"Reading Comprehension, Grammar, Vocabulary",7
issues,,"IT & Technology, Grammar, Vocabulary, Reading Comprehension",7
leave,,"IT & Technology, Reading Comprehension",7
leaving,,"IT & Technology, Vocabulary, Reading Comprehension",7
likely,,"Reading Comprehension, Vocabulary, Grammar",7
log,,"IT & Technology, Reading Comprehension",7
maintenance,,"Reading Comprehension, Vocabulary",7
migrate,,"IT & Technology, Reading Comprehension",7
monolithic,,"IT & Technology, Vocabulary, Grammar",7
months,,"Vocabulary, Grammar",7
mundane,,"Vocabulary, Reading Comprehension, Grammar",7
needs,,"IT & Technology, Grammar",7
networking,,IT & Technology,7
object,,"Vocabulary, Grammar",7
objective,,Reading Comprehension,7
obsolete,,"IT & Technology, Vocabulary, Reading Comprehension",7
operations,,"IT & Technology, Vocabulary, Reading Comprehension",7
options,,"IT & Technology, Vocabulary",7
patterns,,"Grammar, Reading Comprehension, Vocabulary",7
positive,,"Reading Comprehension, Vocabulary",7
production,,"IT & Technology, Reading Comprehension, Grammar",7
professional,,"Vocabulary, Grammar, Reading Comprehension",7
programming,,"IT & Technology, Vocabulary, Grammar",7
pronouns,,"IT & Technology, Grammar",7
recommended,,Grammar,7
refer,,"Grammar, Reading Comprehension",7
relational,,"Grammar, IT & Technology",7
request,,"IT & Technology, Grammar",7
resource,,"IT & Technology, Vocabulary",7
restart,,"Reading Comprehension, IT & Technology, Grammar",7
review,,"IT & Technology, Grammar, Reading Comprehension",7
rhetorical,,Reading Comprehension,7
robust,,"IT & Technology, Vocabulary, Grammar",7
script,,"IT & Technology, Grammar",7
second,,"Grammar, Vocabulary",7
sensitive,,"IT & Technology, Grammar, Vocabulary",7
sentences,,Grammar,7
sequence,,"IT & Technology, Grammar, Reading Comprehension",7
service,,"Reading Comprehension, IT & Technology, Vocabulary",7
services,,"IT & Technology, Reading Comprehension",7
severe,,"IT & Technology, Reading Comprehension, Vocabulary, Grammar",7
shirt,,"Vocabulary, Grammar",7
signs,,Reading Comprehension,7
skeptical,,Reading Comprehension,7
sound,,"Grammar, Reading Comprehension, IT & Technology",7
stop,,"IT & Technology, Reading Comprehension",7
store,,"IT & Technology, Vocabulary, Reading Comprehension",7
throughput,,"IT & Technology, Reading Comprehension, Vocabulary",7
turning,,"IT & Technology, Grammar, Vocabulary",7
understand,,"Vocabulary, Reading Comprehension, IT & Technology",7
utilizing,,"IT & Technology, Grammar",7
website,,"IT & Technology, Grammar",7
won,,"IT & Technology, Grammar",7
years,,"Vocabulary, IT & Technology, Grammar, Reading Comprehension",7
account,,"IT & Technology, Vocabulary, Reading Comprehension",6
acts,,"Grammar, IT & Technology, Vocabulary",6
anachronistic,,Vocabulary,6
arrangements,,Grammar,6
attacks,,"IT & Technology, Reading Comprehension",6
away,,"Vocabulary, IT & Technology, Reading Comprehension, Grammar",6
balanced,,Reading Comprehension,6
begins,,Grammar,6
best,,"IT & Technology, Vocabulary, Reading Comprehension",6
big,,"IT & Technology, Grammar, Reading Comprehension",6
blockchain,,Reading Comprehension,6
board,,"Grammar, Vocabulary, Reading Comprehension",6
browser,,IT & Technology,6
candid,,Reading Comprehension,6
cap,,"IT & Technology, Grammar",6
coffee,,"Grammar, Reading Comprehension",6
cold,,"Vocabulary, Grammar",6
common,,"Grammar, Vocabulary, IT & Technology",6
compile,,"IT & Technology, Vocabulary",6
confusing,,Vocabulary,6
connected,,IT & Technology,6
contributors,,"IT & Technology, Reading Comprehension",6
crashed,,"Grammar, Reading Comprehension",6
create,,"Vocabulary, IT & Technology, Reading Comprehension",6
decision,,"Reading Comprehension, Grammar, Vocabulary",6
defining,,"Grammar, IT & Technology",6
delayed,,"Reading Comprehension, Grammar, Vocabulary",6
deleted,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",6
department,,"IT & Technology, Grammar",6
deploying,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",6
detrimental,,"Vocabulary, Reading Comprehension",6
doctor,,"Grammar, Vocabulary, Reading Comprehension",6
doesn,,"Grammar, Vocabulary, IT & Technology",6
dog,,"Vocabulary, Grammar, Reading Comprehension",6
duration,,"Grammar, Vocabulary",6
easy,,"Vocabulary, Reading Comprehension, IT & Technology",6
edge,,"IT & Technology, Grammar",6
efficient,,"Reading Comprehension, Vocabulary, Grammar",6
else,,"Grammar, IT & Technology, Reading Comprehension",6
employee,,"IT & Technology, Grammar, Reading Comprehension",6
errors,,"Reading Comprehension, IT & Technology, Grammar",6
esoteric,,"Vocabulary, Grammar",6
events,,"IT & Technology, Reading Comprehension",6
exploit,,"IT & Technology, Grammar, Vocabulary",6
failover,,"Grammar, Reading Comprehension, IT & Technology",6
final,,"IT & Technology, Vocabulary, Grammar, Reading Comprehension",6
finished,,"Grammar, Vocabulary",6
flaw,,"Reading Comprehension, Grammar, IT & Technology",6
food,,"Vocabulary, Reading Comprehension",6
football,,"Grammar, Reading Comprehension, Vocabulary",6
force,,"IT & Technology, Vocabulary, Reading Comprehension",6
